date,jdobs,filter,absmag,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Nov 18,2458440.7351,g,99.0,99.0,99.0,16.82,P48+ZTF,1,None,True,True,None
2018 Nov 28,2458450.7709,g,99.0,99.0,99.0,18.01,P48+ZTF,1,None,True,True,None
2018 Nov 28,2458450.8448,r,-17.23,20.20,0.25,19.84,P48+ZTF,1,None,True,False,0.663332998753
2018 Dec 03,2458455.8051,r,-17.32,20.11,0.20,20.11,P48+ZTF,1,None,True,False,0.660000026226
2018 Dec 04,2458456.6989,r,99.0,99.0,99.0,20.25,P48+ZTF,2,None,True,True,None
2018 Dec 04,2458456.6994,r,99.0,99.0,99.0,20.34,P48+ZTF,2,None,True,True,None
2018 Dec 05,2458457.6802,r,99.0,99.0,99.0,19.80,P48+ZTF,2,None,True,True,None
2018 Dec 09,2458461.7630,r,-17.44,19.99,0.15,20.51,P48+ZTF,1,None,True,False,0.846666693687
2018 Dec 12,2458464.7789,r,-17.44,19.99,0.13,20.35,P48+ZTF,1,None,True,False,0.833333015442
2018 Dec 12,2458464.7789,r,-17.44,19.99,0.13,20.35,P48+ZTF,1,None,True,False,0.833333313465
2018 Dec 16,2458468.7580,r,-17.70,19.73,0.15,20.31,P48+ZTF,1,None,True,False,0.813332974911
2018 Dec 16,2458468.7580,r,-17.70,19.73,0.15,20.31,P48+ZTF,1,None,True,False,0.813333332539
2018 Dec 16,2458468.7965,g,99.0,99.0,99.0,20.11,P48+ZTF,1,None,True,True,None
2018 Dec 20,2458472.6176,r,99.0,99.0,99.0,19.58,P48+ZTF,1,None,True,True,None
2018 Dec 20,2458472.6691,g,99.0,99.0,99.0,19.47,P48+ZTF,1,None,True,True,None
2018 Dec 20,2458472.6992,g,99.0,99.0,99.0,19.48,P48+ZTF,1,None,True,True,None
2018 Dec 20,2458472.6996,g,99.0,99.0,99.0,19.47,P48+ZTF,2,None,True,True,None
2018 Dec 23,2458475.5980,g,99.0,99.0,99.0,19.66,P48+ZTF,1,None,True,True,None
2018 Dec 23,2458475.7985,r,99.0,99.0,99.0,19.50,P48+ZTF,1,None,True,True,None
2018 Dec 29,2458481.7981,r,-17.77,19.66,0.19,19.91,P48+ZTF,1,None,True,False,0.603333353996
2018 Dec 31,2458483.6164,g,-18.00,19.44,0.13,20.70,P48+ZTF,2,None,True,False,0.77999997139
2018 Dec 31,2458483.6164,g,-18.00,19.44,0.13,20.70,P48+ZTF,2,None,True,False,0.77999997139
2018 Dec 31,2458483.6169,g,99.0,99.0,99.0,20.61,P48+ZTF,1,None,True,True,None
2019 Jan 03,2458486.6223,r,-17.59,19.84,0.13,20.54,P48+ZTF,1,None,True,False,0.833333313465
2019 Jan 07,2458490.6240,g,99.0,99.0,99.0,20.39,P48+ZTF,1,None,True,True,None
2019 Jan 07,2458490.6625,r,-17.76,19.67,0.12,20.57,P48+ZTF,1,None,True,False,0.790000021458
2019 Jan 10,2458493.6108,r,-17.56,19.87,0.11,20.43,P48+ZTF,1,None,True,False,0.810000002384
2019 Jan 10,2458493.6723,g,99.0,99.0,99.0,20.52,P48+ZTF,1,None,True,True,None
2019 Jan 20,2458503.6732,g,99.0,99.0,99.0,19.27,P48+ZTF,1,None,True,True,None
2019 Jan 26,2458509.6491,g,99.0,99.0,99.0,20.02,P48+ZTF,1,None,True,True,None
2019 Jan 31,2458514.6511,g,99.0,99.0,99.0,20.31,P48+ZTF,1,None,True,True,None
2019 Feb 20,2458534.6292,g,99.0,99.0,99.0,19.10,P48+ZTF,1,None,True,True,None
