jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,mag,mag_unc,limmag
2458382.9331829,b'g',1.992,6.2,26.332122,1.15063e-05,1.0,554.0,3.0,1.0,1.0,319.098,-17.1948,0.87643,41.1613,1.042,0.0,4.475754674434661,-0.05471527576446533,ztf_20180921433171_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180921433171_000554_zg_c03_o_q1_diffimgpsf.fits',98.71046964161039,17.156420396698948,2.894105897179877e-09,5.030114608628521e-10,2458304.9641272104,2458363.905018264,5540311.0,21.346213954535674,0.18870690080803612,21.49863028828559
2458382.9341551,b'g',2.294,6.2,26.363026,1.20001e-05,3.0,554.0,3.0,1.0,1.0,319.109,-17.1909,0.87647,41.1543,1.043,0.0,4.3758977818489075,-0.16919803619384766,ztf_20180921434120_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180921434120_000554_zg_c03_o_q1_diffimgpsf.fits',83.52770343233979,17.429173058701316,2.3802366651641176e-09,4.966682323501508e-10,2458304.9641272104,2458363.905018264,5540311.0,21.558449648046874,0.2265533883701435,21.512409032277624
2458383.9026505,b'r',1.918,6.2,26.213847,8.4265e-06,3.0,554.0,3.0,1.0,2.0,330.88,-14.3805,0.930773,30.5093,1.033,0.0,9.01360686302185,-0.9581197500228882,ztf_20180922402639_000554_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180922402639_000554_zr_c03_o_q1_diffimgpsf.fits',67.75334838267061,30.501243568343178,2.2150929914609465e-09,9.971919098008945e-10,2458312.9458906366,2458354.9970970717,5540312.0,0.0,0.0,20.755628123102177
2458383.9790278,b'g',1.86,6.2,26.273169,1.05992e-05,3.0,554.0,3.0,1.0,1.0,331.679,-14.045,0.934476,29.663,1.127,0.0,3.8731329125165934,-0.06670582294464111,ztf_20180922479028_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180922479028_000554_zg_c03_o_q1_diffimgpsf.fits',80.05311628694503,15.458662814600245,2.4780532964931103e-09,4.785246617850136e-10,2458304.9641272104,2458363.905018264,5540311.0,21.514723393281695,0.20966116867013582,21.55281417671402
2458384.9693287,b'g',2.442,6.2,26.285127,2.76851e-05,3.0,554.0,3.0,1.0,1.0,343.472,-10.4972,0.973831,18.6193,1.109,0.0,11.342856294870376,-0.31594645977020264,ztf_20180923469317_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180923469317_000554_zg_c03_o_q1_diffimgpsf.fits',52.18622970823631,47.51133013338938,1.597736370820586e-09,1.4546093985780586e-09,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,20.345709015848325
2458385.7979514,b'r',1.592,6.2,26.170969,1.49262e-05,3.0,554.0,3.0,1.0,2.0,353.966,-7.19417,0.993522,9.23318,1.236,0.0,14.380839405059813,0.44368183612823486,ztf_20180924297940_000554_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180924297940_000554_zr_c03_o_q1_diffimgpsf.fits',67.28086276900581,47.50152344015474,2.288252533919678e-09,1.6155482692124149e-09,2458312.9458906366,2458354.9970970717,5540312.0,0.0,0.0,20.23177514325811
2458385.808588,b'r',1.977,6.2,26.193038,1.26977e-05,1.0,554.0,3.0,1.0,2.0,354.04,-7.14867,0.993687,9.11428,1.191,0.0,15.237417404174803,-0.5425667762756348,ztf_20180924308553_000554_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180924308553_000554_zr_c03_o_q1_diffimgpsf.fits',31.619496969388685,58.08726894845235,1.0537552624776831e-09,1.9358235014898126e-09,2458312.9458906366,2458354.9970970717,5540312.0,0.0,0.0,20.035410594104167
2458385.891169,b'g',4.374,6.2,26.360078,3.64831e-05,1.0,554.0,3.0,1.0,1.0,354.639,-6.78128,0.994925,8.17008,1.034,0.0,17.158275299072265,-0.16947364807128906,ztf_20180924391146_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180924391146_000554_zg_c03_o_q1_diffimgpsf.fits',104.32548534757944,88.84673213994918,2.980981040299531e-09,2.5386934297551684e-09,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,19.741049341548667
2458385.8921412,b'g',2.105,6.2,26.316639,3.09864e-05,3.0,554.0,3.0,1.0,1.0,354.647,-6.77682,0.994934,8.16308,1.034,0.0,15.062879805088038,0.6258312463760376,ztf_20180924392106_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180924392106_000554_zg_c03_o_q1_diffimgpsf.fits',-6.537961981011435,63.27831597525208,-1.9444052757764504e-10,1.8819120053376323e-09,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,20.06607670722587
2458386.9012037,b'r',1.836,6.2,26.25472,1.32931e-05,3.0,554.0,3.0,1.0,2.0,6.61715,-2.31942,-0.999088,356.539,1.032,0.0,15.20287698512077,-0.19332057237625122,ztf_20180925401181_000554_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180925401181_000554_zr_c03_o_q1_diffimgpsf.fits',-14.675474892146973,53.78528976751398,-4.6206616016498623e-10,1.6934622217693133e-09,2458312.9458906366,2458354.9970970717,5540312.0,0.0,0.0,20.180636207346247
